,alfa,beta,charlie,delta,avg_accuracy,std_accuracy,avg_n_tick,std_n_tick,avg_consensus,std_consensus,avg_weak_synergy,std_weak_synergy,avg_strong_synergy,std_strong_synergy,diversity_score
0,ESFJ,ESFJ,ESFJ,ESFJ,0.9375,0.08385254915624211,4.5,4.104875150354759,1.0,0.0,0.10625,0.06584783595532961,-0.025,0.05000000000000001,0
1,ESFJ,ESFJ,ESFJ,ESTJ,0.975,0.049999999999999996,5.6,4.294182110716778,1.0,0.0,0.15625,0.05590169943749474,0.0875,0.05728219618694799,1
2,ESFJ,ESFJ,ESFJ,ISFJ,0.9,0.10897247358851683,6.1,6.6550732527899354,0.9,0.30000000000000004,0.065625,0.07584163187194748,-0.0375,0.05728219618694799,1
3,ESFJ,ESFJ,ESFJ,ISTJ,0.95,0.06123724356957945,6.4,5.71314274283428,1.0,0.0,0.096875,0.06910420121092493,0.0125,0.08750000000000001,2
4,ESFJ,ESFJ,ESFJ,ENFP,0.95,0.08291561975888499,4.4,3.9293765408777004,1.0,0.0,0.103125,0.07661031670082039,0.0,0.07905694150420949,2
5,ESFJ,ESFJ,ESFJ,ENFJ,0.9,0.15612494995995996,7.7,4.561797891182817,1.0,0.0,0.1,0.10439558180306291,-0.05,0.12747548783981963,1
6,ESFJ,ESFJ,ESFJ,INFP,0.9125,0.08003905296791061,4.1,3.1128764832546763,1.0,0.0,0.06875,0.06525191568069094,-0.05,0.06123724356957946,3
7,ESFJ,ESFJ,ESFJ,INFJ,0.95,0.06123724356957945,6.0,5.779273310719955,0.9,0.30000000000000004,0.115625,0.0766103167008204,-0.0125,0.0673145600891813,2
8,ESFJ,ESFJ,ESFJ,ENTP,0.85,0.10897247358851683,12.4,5.517245689653488,0.8,0.4,0.096875,0.08777857440742586,-0.05,0.1,3
9,ESFJ,ESFJ,ESFJ,ENTJ,0.9625,0.057282196186948006,6.3,4.94064773081425,1.0,0.0,0.11875,0.07098635432250341,-0.025,0.07500000000000001,2
10,ESFJ,ESFJ,ESFJ,INTP,0.9375,0.08385254915624211,8.6,6.1838499334961226,0.9,0.30000000000000004,0.09375,0.07905694150420949,-0.0375,0.05728219618694799,4
11,ESFJ,ESFJ,ESFJ,INTJ,0.9,0.075,7.2,5.3814496188294845,0.9,0.30000000000000004,0.059375,0.07961087001785623,-0.0625,0.0625,3
12,ESFJ,ESFJ,ESFJ,ESFP,0.8625,0.10383279828647594,6.1,4.3,1.0,0.0,0.08125,0.0701560760020114,-0.075,0.06123724356957945,1
13,ESFJ,ESFJ,ESFJ,ESTP,0.9125,0.09762812094883318,6.7,6.148983655857283,0.9,0.30000000000000004,0.084375,0.08273876434296079,-0.075,0.082915619758885,2
14,ESFJ,ESFJ,ESFJ,ISFP,0.9125,0.12562344526401112,6.7,5.4230987451825,1.0,0.0,0.10625,0.11284668803292369,-0.0375,0.12562344526401112,2
15,ESFJ,ESFJ,ESFJ,ISTP,0.875,0.11180339887498948,8.7,6.870953354520753,0.9,0.30000000000000004,0.065625,0.06319921380048965,-0.0375,0.08003905296791061,3
16,ESFJ,ESFJ,ESTJ,ESTJ,0.95,0.06123724356957945,8.5,6.469157595854347,0.8,0.4,0.09375,0.08615030470056388,-0.0375,0.08003905296791061,2
17,ESFJ,ESFJ,ESTJ,ISFJ,0.875,0.09682458365518543,6.3,2.685144316419511,1.0,0.0,0.071875,0.09380206887377272,-0.0625,0.08385254915624211,2
18,ESFJ,ESFJ,ESTJ,ISTJ,0.8875,0.08750000000000001,7.3,5.020956084253277,1.0,0.0,0.071875,0.08844357311303067,-0.05,0.08291561975888499,3
