,alfa,beta,charlie,delta,avg_accuracy,std_accuracy,avg_n_tick,std_n_tick,avg_consensus,std_consensus,avg_weak_synergy,std_weak_synergy,avg_strong_synergy,std_strong_synergy,diversity_score
0,ESFJ,ESFJ,ESFJ,ESFJ,0.875,0.13693063937629152,5.2,2.638181191654584,1.0,0.0,0.071875,0.0815499271918743,-0.0625,0.08385254915624211,0
1,ESFJ,ESFJ,ESFJ,ESTJ,0.925,0.12747548783981963,6.0,4.381780460041329,1.0,0.0,0.10625,0.1356408400888169,-0.0375,0.12562344526401112,1
2,ESFJ,ESFJ,ESFJ,ISFJ,0.9875,0.0375,5.2,5.268775948927796,1.0,0.0,0.134375,0.05598897770990287,0.0375,0.05728219618694799,1
3,ESFJ,ESFJ,ESFJ,ISTJ,0.9,0.10897247358851683,4.1,3.6180105030251086,1.0,0.0,0.06875,0.06218671481916375,-0.05,0.06123724356957946,2
4,ESFJ,ESFJ,ESFJ,ENFP,0.9625,0.057282196186948006,4.9,5.146843692983109,1.0,0.0,0.13125,0.08244316223920574,0.0125,0.08750000000000001,2
5,ESFJ,ESFJ,ESFJ,ENFJ,0.95,0.06123724356957945,3.8,2.85657137141714,1.0,0.0,0.103125,0.0726856459350813,-0.0125,0.10383279828647594,1
6,ESFJ,ESFJ,ESFJ,INFP,0.9125,0.08003905296791061,7.7,5.814636704042653,1.0,0.0,0.084375,0.07401699551454383,-0.0375,0.09762812094883318,3
7,ESFJ,ESFJ,ESFJ,INFJ,0.9,0.09354143466934853,8.3,6.649060083951716,0.9,0.30000000000000004,0.0875,0.06059599821770412,-0.0625,0.08385254915624211,2
8,ESFJ,ESFJ,ESFJ,ENTP,0.925,0.082915619758885,6.4,3.9547439866570375,1.0,0.0,0.103125,0.09985340817919036,-0.025,0.10897247358851683,3
9,ESFJ,ESFJ,ESFJ,ENTJ,0.9375,0.08385254915624211,8.2,5.929586832149438,0.9,0.3,0.10625,0.08637671850678284,-0.025,0.05000000000000001,2
10,ESFJ,ESFJ,ESFJ,INTP,0.925,0.082915619758885,6.4,4.586937976471886,1.0,0.0,0.084375,0.07401699551454383,-0.0375,0.08003905296791061,4
11,ESFJ,ESFJ,ESFJ,INTJ,0.9,0.10897247358851683,4.8,4.686149805543993,1.0,0.0,0.071875,0.07401699551454383,-0.05,0.1,3
