,alfa,beta,charlie,delta,avg_accuracy,std_accuracy,avg_n_tick,std_n_tick,avg_consensus,std_consensus,avg_weak_synergy,std_weak_synergy,avg_strong_synergy,std_strong_synergy,diversity_score
0,ESFJ,ESFJ,ESFJ,ESFJ,0.92225,0.09346757459140577,5.355,4.684119447665698,0.984,0.125475097130865,0.10340625,0.08058331650185105,-0.025375,0.09435562715068985,0
1,ESFJ,ESFJ,ESFJ,ESTJ,0.925,0.09287087810503356,5.922,5.160418200107429,0.98,0.13999999999999999,0.10303125,0.07730059402059922,-0.02525,0.09161706991603692,1
2,ESFJ,ESFJ,ESFJ,ISFJ,0.918875,0.09664682806486717,5.585,4.983851422343968,0.976,0.15304901175767194,0.1001875,0.07729284309526983,-0.0275,0.09199184746487049,1
3,ESFJ,ESFJ,ESFJ,ISTJ,0.918,0.10106186224288567,6.727,5.805555184476331,0.953,0.21163884331568247,0.1000625,0.0847744940636628,-0.02875,0.09835363490995135,2
4,ESFJ,ESFJ,ESFJ,ENFP,0.9195,0.09676517968773685,6.291,5.477437265729294,0.967,0.1786365024288149,0.09959375,0.07705537147686395,-0.03025,0.09112457132958157,2
5,ESFJ,ESFJ,ESFJ,ENFJ,0.9335,0.0857846140050767,5.073,4.766515603666897,0.985,0.1215524578114322,0.0974375,0.07536419387713239,-0.026125,0.08654108489613474,1
6,ESFJ,ESFJ,ESFJ,INFP,0.91525,0.10157478771821284,7.205,6.085472454953683,0.941,0.23562470159132295,0.0994375,0.0828618720748572,-0.02925,0.0996277446296964,3
7,ESFJ,ESFJ,ESFJ,INFJ,0.932125,0.08822476622241625,5.67,5.145396000309402,0.981,0.13652472303579308,0.0971875,0.07671158953345968,-0.028875,0.09300865215129182,2
8,ESFJ,ESFJ,ESFJ,ENTP,0.92425,0.09410466247747772,7.118,6.051782877797253,0.946,0.22601769842204836,0.10284375,0.07951463480666625,-0.025875,0.0947159404482688,3
9,ESFJ,ESFJ,ESFJ,ENTJ,0.93275,0.08843747791519159,5.688,5.308357184666458,0.969,0.17331762749357033,0.0953125,0.07750693013369837,-0.023375,0.08768115176592972,2
10,ESFJ,ESFJ,ESFJ,INTP,0.918625,0.10102590942426601,8.346,6.6450194883085185,0.891,0.3116392144772541,0.10225,0.08277426003897588,-0.026875,0.09736970460569344,4
11,ESFJ,ESFJ,ESFJ,INTJ,0.92725,0.0949733515255727,6.645,6.128864087251406,0.946,0.22601769842204836,0.09609375,0.07582472979468835,-0.031,0.09104394543296111,3
12,ESFJ,ESFJ,ESFJ,ESFP,0.906875,0.10487902256886267,6.52,5.360559672273036,0.973,0.16208331191088118,0.0994375,0.08246019399534542,-0.031625,0.099921140781118,1
13,ESFJ,ESFJ,ESFJ,ESTP,0.907375,0.10092687637591881,7.473,5.908576055192994,0.946,0.22601769842204836,0.10165625,0.08332090988123868,-0.030375,0.10030819694820559,2
14,ESFJ,ESFJ,ESFJ,ISFP,0.913,0.10395191195932857,6.717,5.509710609460355,0.971,0.1678064361101802,0.10590625,0.0843152508354064,-0.031875,0.10062111793753833,2
15,ESFJ,ESFJ,ESFJ,ISTP,0.90425,0.10422661608245755,8.476,6.273390152062918,0.919,0.27283511504203417,0.1036875,0.08507163801026756,-0.0345,0.09951633031819451,3
16,ESFJ,ESFJ,ESTJ,ESTJ,0.919375,0.09345578834400788,6.308,5.356224043110967,0.973,0.16208331191088116,0.103125,0.07694102855434154,-0.025375,0.09132625238670423,2
17,ESFJ,ESFJ,ESTJ,ISFJ,0.91825,0.10126419653559693,6.433,5.593881568285121,0.964,0.18629009635512025,0.096875,0.08206323781084926,-0.030625,0.09850245872565822,2
18,ESFJ,ESFJ,ESTJ,ISTJ,0.921375,0.09398794803058529,6.924,5.926400593952454,0.943,0.23184261903282585,0.101125,0.07944081916747837,-0.02475,0.09410731905648996,3
19,ESFJ,ESFJ,ESTJ,ENFP,0.918,0.09695875411740809,6.937,5.867966513196884,0.942,0.23374344910606587,0.09725,0.07993806196049538,-0.027,0.09481429217159194,3
20,ESFJ,ESFJ,ESTJ,ENFJ,0.930125,0.09087414029854697,5.851,5.446907287626622,0.968,0.17600000000000002,0.0979375,0.07725796378853121,-0.029625,0.08775240381322896,2
21,ESFJ,ESFJ,ESTJ,INFP,0.919875,0.09811656014659298,7.771,6.483714907365992,0.918,0.2743647207641682,0.098375,0.0819447222217514,-0.027875,0.0964422592798406,4
22,ESFJ,ESFJ,ESTJ,INFJ,0.925625,0.0941221779125409,6.817,6.132007093929361,0.943,0.23184261903282585,0.09278125,0.07584188296012633,-0.0335,0.09471800251272194,3
23,ESFJ,ESFJ,ESTJ,ENTP,0.9155,0.10085757284408545,7.663,6.327197720950405,0.921,0.26973876250921,0.0994375,0.08292077826908043,-0.03,0.09797958971132713,4
24,ESFJ,ESFJ,ESTJ,ENTJ,0.928625,0.09278326559784367,6.261,5.682154432959385,0.956,0.20509509989270833,0.0965,0.07686646294060889,-0.0295,0.09205161595539754,3
25,ESFJ,ESFJ,ESTJ,INTP,0.922625,0.09729457525987767,8.297,6.817242184344047,0.89,0.3128897569432403,0.10178125,0.08102704385535424,-0.021,0.09696777815336391,5
26,ESFJ,ESFJ,ESTJ,INTJ,0.92625,0.0936999866595508,6.817,6.144388578206947,0.942,0.23374344910606587,0.0915,0.07652624141430181,-0.03525,0.09223577126039549,4
27,ESFJ,ESFJ,ESTJ,ESFP,0.90825,0.1014923026637981,7.172,5.6854565339997105,0.955,0.20730412441627882,0.102875,0.08360023923410746,-0.03125,0.09917629505078318,2
28,ESFJ,ESFJ,ESTJ,ESTP,0.90375,0.10481382303875765,7.892,5.9358517501703165,0.942,0.23374344910606584,0.0998125,0.0852521764751493,-0.03425,0.10131356029673422,3
29,ESFJ,ESFJ,ESTJ,ISFP,0.910625,0.10107044263779594,7.865,6.2048992739608595,0.932,0.251745903640953,0.10396875,0.08469886339814425,-0.03375,0.0975560736192268,3
30,ESFJ,ESFJ,ESTJ,ISTP,0.9045,0.10682228231974825,8.403,6.426086756339351,0.917,0.2758822212466762,0.1029375,0.08494922656357738,-0.03575,0.1023324850670597,4
31,ESFJ,ESFJ,ISFJ,ISFJ,0.916625,0.1009417375271498,6.441,5.39597247954435,0.97,0.1705872210923198,0.10221875,0.08111502611068741,-0.025375,0.09632229427811612,2
32,ESFJ,ESFJ,ISFJ,ISTJ,0.919125,0.09604613149419397,7.031,5.818594246035722,0.954,0.2094850830011531,0.099875,0.08091025120465269,-0.0265,0.09511966147963312,3
33,ESFJ,ESFJ,ISFJ,ENFP,0.9225,0.094505290857179,6.903,5.889277629726756,0.957,0.20285709255532575,0.10025,0.07940658820274298,-0.027125,0.09502557221611455,3
34,ESFJ,ESFJ,ISFJ,ENFJ,0.931,0.09213576938409967,5.806,5.342692579589434,0.965,0.1837797594948911,0.10140625,0.07739013760446159,-0.028125,0.09290241856378122,2
35,ESFJ,ESFJ,ISFJ,INFP,0.91725,0.09728791034861421,7.228,6.104262117569985,0.932,0.251745903640953,0.09934375,0.07788061150528738,-0.028875,0.09182515654764765,4
36,ESFJ,ESFJ,ISFJ,INFJ,0.931,0.09007774419910836,5.83,5.365361124845186,0.97,0.1705872210923198,0.09471875,0.07555807343320434,-0.029625,0.08810779973986413,3
37,ESFJ,ESFJ,ISFJ,ENTP,0.919375,0.09690322169566912,7.884,6.456666632249182,0.934,0.24828209762284517,0.0989375,0.08024890478224608,-0.028875,0.09300865215129182,4
38,ESFJ,ESFJ,ISFJ,ENTJ,0.93375,0.08866192813152667,6.045,5.663124137788258,0.962,0.19119623427254,0.096875,0.07617568099465866,-0.026875,0.08739055655504203,3
39,ESFJ,ESFJ,ISFJ,INTP,0.91875,0.10089443740861039,8.22,6.706534127252317,0.896,0.30526054445342266,0.1015,0.08329456389825209,-0.0285,0.0971480828426377,5
40,ESFJ,ESFJ,ISFJ,INTJ,0.9325,0.08717797887081347,6.267,5.822517582626952,0.951,0.21586801523152982,0.0953125,0.07349731606494213,-0.026625,0.08853239167107145,4
41,ESFJ,ESFJ,ISFJ,ESFP,0.90425,0.10645157349706015,7.118,5.665516393057212,0.962,0.19119623427254,0.1001875,0.0864759495105431,-0.035,0.10350120772242224,2
42,ESFJ,ESFJ,ISFJ,ESTP,0.907625,0.10524369042845276,7.648,6.1068892244742745,0.937,0.24296296014001806,0.09840625,0.08433331725028667,-0.033375,0.10259987512175636,3
43,ESFJ,ESFJ,ISFJ,ISFP,0.905875,0.10635957585003807,7.574,5.7715270076471095,0.954,0.2094850830011531,0.104875,0.08641777160977943,-0.03175,0.10120245797410259,3
44,ESFJ,ESFJ,ISFJ,ISTP,0.908125,0.10404138299253812,8.434,6.350719959185731,0.913,0.28183505814571763,0.1045625,0.08636701753997297,-0.0325,0.10188841936157417,4
45,ESFJ,ESFJ,ISTJ,ISTJ,0.9125,0.09874208829065749,7.528,6.137525234164011,0.943,0.23184261903282585,0.09303125,0.08028556819838482,-0.03525,0.09441232705531624,4
46,ESFJ,ESFJ,ISTJ,ENFP,0.91375,0.10077046938463669,7.97,6.388669658074364,0.909,0.28760910973055076,0.0949375,0.08110898821184986,-0.035875,0.0955764582677136,4
47,ESFJ,ESFJ,ISTJ,ENFJ,0.935625,0.08889732490350877,6.169,5.687041322163925,0.968,0.17600000000000002,0.099875,0.07707788269017254,-0.025125,0.08683668219709917,3
48,ESFJ,ESFJ,ISTJ,INFP,0.917,0.09691362133363916,8.163,6.711812795363112,0.889,0.31413213780191296,0.09890625,0.08008647060170337,-0.029375,0.09566992408798075,5
49,ESFJ,ESFJ,ISTJ,INFJ,0.929375,0.09251477922472713,6.618,5.956851181622721,0.947,0.22403347964087864,0.09403125,0.07547324003206368,-0.0295,0.09085565474971825,4
50,ESFJ,ESFJ,ISTJ,ENTP,0.917125,0.09964240751306645,8.435,6.687882699330185,0.89,0.3128897569432403,0.09921875,0.08240984064987324,-0.029125,0.0987983267823904,5
51,ESFJ,ESFJ,ISTJ,ENTJ,0.931,0.09007774419910836,6.578,6.04499098427781,0.943,0.23184261903282585,0.09421875,0.07383717702443329,-0.02925,0.09179154372816703,4
52,ESFJ,ESFJ,ISTJ,INTP,0.918375,0.09359078146377453,8.742,6.905174581428047,0.872,0.3340898082851375,0.1004375,0.07823869227402769,-0.029375,0.09468492158205549,6
53,ESFJ,ESFJ,ISTJ,INTJ,0.928625,0.08987482614725884,7.331,6.499956846010594,0.924,0.26499811320083017,0.090625,0.07400380057807841,-0.0315,0.08772257406164048,5
54,ESFJ,ESFJ,ISTJ,ESFP,0.91,0.1044030650891055,8.308,6.373785060699803,0.918,0.2743647207641682,0.10865625,0.0867685442625235,-0.027875,0.10180181420289129,3
55,ESFJ,ESFJ,ISTJ,ESTP,0.90725,0.10181447588629035,8.536,6.511735866879123,0.909,0.2876091097305508,0.10265625,0.0849964096208628,-0.03475,0.10388665698731478,4
56,ESFJ,ESFJ,ISTJ,ISFP,0.908,0.10355433356455924,8.417,6.363576902968958,0.918,0.27436472076416824,0.10540625,0.08363022568687412,-0.028125,0.10065217024485862,4
57,ESFJ,ESFJ,ISTJ,ISTP,0.906,0.10683632341109459,8.713,6.658876106371104,0.891,0.3116392144772541,0.10034375,0.08581228946623846,-0.03725,0.10256065278653406,5
58,ESFJ,ESFJ,ENFP,ENFP,0.91975,0.09967415663049274,6.514,5.576719824412914,0.963,0.18876175460087244,0.10065625,0.08388840592380749,-0.02425,0.097176064439758,4
59,ESFJ,ESFJ,ENFP,ENFJ,0.93475,0.08655886725229253,5.554,5.276275580369168,0.973,0.16208331191088118,0.09584375,0.0758191657724978,-0.0255,0.08645663652953427,3
60,ESFJ,ESFJ,ENFP,INFP,0.9175,0.09924716620639604,7.649,6.194336041901504,0.944,0.22992172581119863,0.0981875,0.08414224841748644,-0.030375,0.10015230588958,5
61,ESFJ,ESFJ,ENFP,INFJ,0.930625,0.09108503924904461,6.314,5.705909568158262,0.955,0.20730412441627882,0.09534375,0.0782399092435408,-0.029875,0.09286069876433195,4
62,ESFJ,ESFJ,ENFP,ENTP,0.919125,0.09637094673707423,7.566,6.266709184252928,0.933,0.25002199903208516,0.0961875,0.07777368509817442,-0.031125,0.09495056279454062,5
63,ESFJ,ESFJ,ENFP,ENTJ,0.930125,0.08754632702175459,6.432,5.717987058397386,0.965,0.1837797594948911,0.0964375,0.07612825834570236,-0.0285,0.08478059919580659,4
64,ESFJ,ESFJ,ENFP,INTP,0.91925,0.09847937601345776,8.138,6.709765718711795,0.893,0.3091132478558627,0.09653125,0.07810674161644114,-0.031375,0.09519708175674294,6
65,ESFJ,ESFJ,ENFP,INTJ,0.930125,0.09138850789349828,7.27,6.433591531951652,0.931,0.25345413786324344,0.09246875,0.07399930716525324,-0.029875,0.0909909851303963,5
66,ESFJ,ESFJ,ENFP,ESFP,0.90675,0.10273479206189108,7.384,5.649295885329427,0.964,0.18629009635512025,0.0995625,0.08486779700657958,-0.033,0.0993969315421759,3
67,ESFJ,ESFJ,ENFP,ESTP,0.9085,0.10156401921940661,7.791,6.074316340132444,0.932,0.251745903640953,0.102875,0.08255405426143528,-0.030375,0.10092935338641579,4
68,ESFJ,ESFJ,ENFP,ISFP,0.906625,0.09818596832032571,8.016,6.150914078411435,0.939,0.23933031567271204,0.10453125,0.08036765494238027,-0.028625,0.09686967727312815,4
69,ESFJ,ESFJ,ENFP,ISTP,0.909,0.10738482201875645,8.542,6.3901671339644945,0.923,0.26659144772479104,0.106125,0.08594138627576355,-0.027125,0.10502313733173277,5
70,ESFJ,ESFJ,ENFJ,ENFJ,0.946625,0.08145848252330753,4.454,4.607372787174921,0.986,0.11749042514179613,0.09303125,0.07134636438486197,-0.02,0.08200609733428363,2
71,ESFJ,ESFJ,ENFJ,INFP,0.935625,0.08819146429785595,6.007,5.590076117549742,0.963,0.18876175460087244,0.09696875,0.0748983099671648,-0.027875,0.08796936611684775,4
72,ESFJ,ESFJ,ENFJ,INFJ,0.9425,0.08295330011518529,5.037,5.2176269510190165,0.974,0.15913516267626082,0.0919375,0.06932033319127945,-0.026375,0.08124798074413911,3
73,ESFJ,ESFJ,ENFJ,ENTP,0.93,0.09307255234493142,6.216,5.687120888463687,0.957,0.20285709255532575,0.096625,0.07803454763756884,-0.02725,0.09172615493958088,4
74,ESFJ,ESFJ,ENFJ,ENTJ,0.947,0.07868290792796108,5.045,5.095780116920274,0.979,0.14338409953687334,0.09625,0.07291101168547862,-0.0235,0.08222073947612002,3
75,ESFJ,ESFJ,ENFJ,INTP,0.932125,0.08928106952204369,6.946,6.308175964571692,0.938,0.24115555146004825,0.09703125,0.07331422499036255,-0.029,0.08697844560579363,5
76,ESFJ,ESFJ,ENFJ,INTJ,0.94075,0.08247385949499393,5.718,5.792449913464942,0.955,0.20730412441627882,0.09271875,0.07275219471560634,-0.029625,0.08577140767761714,4
77,ESFJ,ESFJ,ENFJ,ESFP,0.922125,0.09624764607511188,6.038,5.2200149425073485,0.978,0.14668333238647124,0.10115625,0.07909912071848522,-0.030625,0.09345578834400788,2
78,ESFJ,ESFJ,ENFJ,ESTP,0.9195,0.09820768809008794,6.762,5.844258378956221,0.949,0.21999772726098782,0.09765625,0.08032754601279377,-0.03625,0.09681651460365633,3
79,ESFJ,ESFJ,ENFJ,ISFP,0.916625,0.09763700310333169,6.797,5.738796999371907,0.961,0.19359493795035035,0.0989375,0.08134876209107303,-0.0325,0.09572094859538324,3
80,ESFJ,ESFJ,ENFJ,ISTP,0.924875,0.0940245147554615,7.837,6.367922031557861,0.916,0.2773878151613729,0.1061875,0.08191790383518123,-0.0265,0.09642484119769137,4
81,ESFJ,ESFJ,INFP,INFP,0.921875,0.09604483002744083,7.735,6.439159494840923,0.922,0.26817158686184484,0.102125,0.08034457044505247,-0.02575,0.09113554465739479,6
82,ESFJ,ESFJ,INFP,INFJ,0.931,0.08867919710958146,6.771,6.071783840025927,0.948,0.22202702538204672,0.0959375,0.07596450137235154,-0.0265,0.09057593499379403,5
83,ESFJ,ESFJ,INFP,ENTP,0.91675,0.10081263561677177,7.863,6.6018354266067565,0.914,0.2803640490505157,0.09575,0.08128547302562741,-0.034,0.09552617442355787,6
84,ESFJ,ESFJ,INFP,ENTJ,0.93525,0.09028392714099226,6.933,6.2469601407404545,0.931,0.25345413786324344,0.1015,0.07796543705386381,-0.0245,0.08781941698736105,5
85,ESFJ,ESFJ,INFP,INTP,0.922125,0.096085167299641,8.593,6.856628253011825,0.879,0.3261272757682191,0.10175,0.07852686642162668,-0.023,0.09471536306217698,7
86,ESFJ,ESFJ,INFP,INTJ,0.927875,0.08927406888341094,7.62,6.6862246447453435,0.905,0.293214938227915,0.095375,0.07732904531933651,-0.030375,0.0882070539979655,6
87,ESFJ,ESFJ,INFP,ESFP,0.9095,0.10456935497553767,8.001,6.288481454214523,0.93,0.25514701644346144,0.104125,0.08566021173800588,-0.030125,0.10100425424208626,4
88,ESFJ,ESFJ,INFP,ESTP,0.90225,0.11071331220770156,8.62,6.64,0.9,0.3,0.09759375,0.08952931935091152,-0.036875,0.10839561510965286,5
