,type,studygroup,avg_accuracy,std_accuracy,avg_adaptation
0,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFJ']",0.84375,0.1254678743742796,0.17375
1,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFJ']",0.82625,0.13334049459935268,0.18375
2,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFJ']",0.8125,0.1463087488839953,0.17625
3,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFJ']",0.83625,0.1354333323078185,0.17875
4,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTJ']",0.8325,0.14055692796870597,0.1825
5,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTJ']",0.835,0.13095800853708794,0.16375
6,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTJ']",0.8325,0.12018215341721915,0.175
7,ESTJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTJ']",0.82875,0.1294881751358015,0.18625
8,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFJ']",0.8275,0.13667936932836644,0.1775
9,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFJ']",0.82375,0.1358940304060484,0.19125
10,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFJ']",0.8,0.14577379737113252,0.2125
11,ISFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFJ']",0.8125,0.1243734296383275,0.23
12,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTJ']",0.8275,0.14337450958939665,0.17625
13,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTJ']",0.81125,0.1316897395395708,0.1975
14,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTJ']",0.82,0.132664991614216,0.1825
15,ISTJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTJ']",0.825,0.14469796128487783,0.20375
16,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFP']",0.84375,0.11775902300885482,0.1675
17,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFP']",0.7975,0.15081031131855674,0.21375
18,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFP']",0.8,0.13110110602126893,0.21875
19,ENFP,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFP']",0.82,0.12908330643425583,0.195
20,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFJ']",0.835,0.12484990989183772,0.1675
21,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFJ']",0.815,0.14735162028291376,0.18625
22,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFJ']",0.835,0.14239030865898142,0.16875
23,ENFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFJ']",0.89,0.11357816691600547,0.14125
24,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'INFP']",0.82,0.14823967080373593,0.18875
