,alfa,beta,charlie,delta,avg_accuracy,std_accuracy,avg_n_tick,std_n_tick,avg_consensus,std_consensus,avg_weak_synergy,std_weak_synergy,avg_strong_synergy,std_strong_synergy,diversity_score
0,ESFJ,ESFJ,ESFJ,ESFJ,0.93125,0.0854674645698584,5.63,4.309651958105201,0.96,0.19595917942265426,0.1071875,0.07451077417897362,-0.0225,0.0974358763495254,0
1,ESFJ,ESFJ,ESFJ,ESTJ,0.905,0.10914439976471536,6.54,4.825805632223494,0.91,0.2861817604250837,0.0809375,0.07794917715248827,-0.045,0.10682930309610748,1
2,ESFJ,ESFJ,ESFJ,ISFJ,0.93625,0.08195844983892753,5.18,4.283409856644586,0.94,0.23748684174075835,0.109375,0.07911868063232602,-0.0225,0.08728545125048047,1
3,ESFJ,ESFJ,ESFJ,ISTJ,0.92,0.12313610356024751,6.75,5.588157120196246,0.79,0.4073082370883261,0.1021875,0.09001464724560108,-0.03125,0.10807260291119114,2
4,ESFJ,ESFJ,ESFJ,ENFP,0.90375,0.10132713111501775,6.27,4.69010660859644,0.91,0.2861817604250837,0.083125,0.08752455012737854,-0.04625,0.0946292106064507,2
5,ESFJ,ESFJ,ESFJ,ENFJ,0.9375,0.08569568250501305,5.25,4.846390409366542,0.94,0.23748684174075835,0.11,0.06502403401819977,-0.01375,0.0788491439395508,1
6,ESFJ,ESFJ,ESFJ,INFP,0.92,0.09924716620639604,7.15,5.391428382163673,0.89,0.31288975694324034,0.1021875,0.07524114877346039,-0.03125,0.08904879280484379,3
7,ESFJ,ESFJ,ESFJ,INFJ,0.9375,0.09100137361600648,5.02,4.395406693356145,0.94,0.23748684174075835,0.09625,0.07612181848852535,-0.025,0.08660254037844387,2
8,ESFJ,ESFJ,ESFJ,ENTP,0.9075,0.10096410253154335,6.92,5.419741691261679,0.81,0.3923009049186606,0.094375,0.08196559872897898,-0.04,0.09334077351297236,3
9,ESFJ,ESFJ,ESFJ,ENTJ,0.91125,0.09403290647427634,5.93,4.2006070989798605,0.95,0.21794494717703372,0.0821875,0.08120852306716332,-0.0525,0.08692669325356854,2
10,ESFJ,ESFJ,ESFJ,INTP,0.93625,0.09436465175053634,6.68,5.500690865700418,0.83,0.375632799419859,0.1109375,0.07823429854450029,-0.02,0.08789197915623471,4
11,ESFJ,ESFJ,ESFJ,INTJ,0.93125,0.09742785792574936,6.46,5.465198989972826,0.84,0.36660605559646725,0.10125,0.07980934312472444,-0.03,0.08860022573334676,3
12,ESFJ,ESFJ,ESFJ,ESFP,0.905,0.10914439976471538,5.84,4.265489420922293,0.94,0.23748684174075838,0.105625,0.08869496533062067,-0.035,0.10319883720275147,1
13,ESFJ,ESFJ,ESFJ,ESTP,0.91125,0.11081375140297345,6.42,4.919715438925304,0.91,0.2861817604250837,0.0978125,0.08108818020371403,-0.0375,0.10077822185373188,2
14,ESFJ,ESFJ,ESFJ,ISFP,0.9225,0.09646890690787369,6.26,4.86748394963969,0.86,0.34698703145794946,0.1028125,0.0814055002364705,-0.025,0.10307764064044152,2
15,ESFJ,ESFJ,ESFJ,ISTP,0.92,0.08573214099741122,7.15,5.229483722127836,0.87,0.33630343441600474,0.11125,0.0773486425220249,-0.025,0.08660254037844387,3
16,ESFJ,ESFJ,ESTJ,ESTJ,0.93,0.09239859306288165,5.86,4.9031010595336495,0.91,0.28618176042508375,0.1034375,0.07509044026205998,-0.02625,0.09064870379657947,2
17,ESFJ,ESFJ,ESTJ,ISFJ,0.9075,0.1025,6.77,4.894599064274826,0.9,0.3,0.08625,0.08386652341667682,-0.045,0.08930285549745877,2
18,ESFJ,ESFJ,ESTJ,ISTJ,0.91,0.09695359714832659,7.25,5.4117926789558375,0.83,0.375632799419859,0.0984375,0.08069219583547096,-0.03,0.1001873245475694,3
19,ESFJ,ESFJ,ESTJ,ENFP,0.905,0.11335784048754634,6.39,4.923200178745528,0.92,0.2712931993250107,0.08,0.09220815446586056,-0.045,0.09604686356149274,3
20,ESFJ,ESFJ,ESTJ,ENFJ,0.9275,0.09549214627392139,5.51,4.327805448492342,0.96,0.19595917942265423,0.089375,0.07793978043977286,-0.03125,0.09901862198596786,2
21,ESFJ,ESFJ,ESTJ,INFP,0.91375,0.10261426557745273,6.89,5.420138374617387,0.87,0.33630343441600474,0.0865625,0.0772899118174552,-0.03625,0.09403290647427634,4
22,ESFJ,ESFJ,ESTJ,INFJ,0.95,0.07071067811865475,5.4,4.985980344927165,0.94,0.23748684174075835,0.1025,0.07461882302743725,-0.01,0.08418729120241368,3
23,ESFJ,ESFJ,ESTJ,ENTP,0.91375,0.09952229649681522,6.93,5.3277668867922525,0.81,0.3923009049186606,0.095,0.0820775167143841,-0.03125,0.0854674645698584,4
24,ESFJ,ESFJ,ESTJ,ENTJ,0.95125,0.0827175162828285,5.28,4.880737649167388,0.94,0.23748684174075835,0.1125,0.06312190586476298,-0.01,0.07640353394968064,3
25,ESFJ,ESFJ,ESTJ,INTP,0.91,0.09695359714832659,8.38,5.563775696413363,0.76,0.4270831300812524,0.09125,0.08690422170412666,-0.03375,0.10132713111501777,5
26,ESFJ,ESFJ,ESTJ,INTJ,0.9225,0.09965565713997374,5.91,5.15964146041176,0.91,0.2861817604250837,0.0878125,0.07297995765105651,-0.035,0.08674675786448736,4
27,ESFJ,ESFJ,ESTJ,ESFP,0.90125,0.11221491656638168,6.95,5.303536555921907,0.84,0.36660605559646725,0.1009375,0.08613386656101071,-0.045,0.09766012492312305,2
28,ESFJ,ESFJ,ESTJ,ESTP,0.9025,0.11535271995059326,7.29,4.602814356456276,0.9,0.3,0.096875,0.08888414158329931,-0.0325,0.10250000000000001,3
29,ESFJ,ESFJ,ESTJ,ISFP,0.92125,0.09787587802926725,7.24,5.38538763693014,0.86,0.34698703145794946,0.1065625,0.08638745839964272,-0.015,0.10043654713300335,3
30,ESFJ,ESFJ,ESTJ,ISTP,0.8875,0.09921567416492214,8.71,5.329718566678732,0.76,0.42708313008125254,0.0984375,0.07569663446118327,-0.04625,0.09787587802926725,4
31,ESFJ,ESFJ,ISFJ,ISFJ,0.92375,0.09825826937209917,6.21,4.6718197739210785,0.95,0.21794494717703375,0.1125,0.08196798155377501,-0.0275,0.08764274071479053,2
32,ESFJ,ESFJ,ISFJ,ISTJ,0.90875,0.09819464089246419,6.38,5.306185070274124,0.84,0.36660605559646725,0.08875,0.07877479768301535,-0.035,0.09695359714832658,3
33,ESFJ,ESFJ,ISFJ,ENFP,0.91375,0.09303057293169811,6.86,4.853905643911921,0.9,0.30000000000000004,0.1003125,0.07709255293963224,-0.03875,0.09303057293169809,3
34,ESFJ,ESFJ,ISFJ,ENFJ,0.93,0.08717797887081348,5.56,4.7504105085771275,0.94,0.23748684174075835,0.0940625,0.07132876676874485,-0.035,0.08492643875731513,2
35,ESFJ,ESFJ,ISFJ,INFP,0.93375,0.08561359413083884,5.97,4.8794569369961645,0.91,0.28618176042508375,0.1096875,0.07173832113138695,-0.015,0.09233092656309695,4
36,ESFJ,ESFJ,ISFJ,INFJ,0.93125,0.0890487928048438,5.72,4.76042014952462,0.94,0.23748684174075835,0.0921875,0.07439534910698384,-0.02375,0.08960852359011391,3
37,ESFJ,ESFJ,ISFJ,ENTP,0.91,0.09367496997597598,6.95,5.142713291638958,0.84,0.36660605559646725,0.101875,0.07508068576538177,-0.035,0.10012492197250393,4
38,ESFJ,ESFJ,ISFJ,ENTJ,0.95125,0.07266145814666809,4.89,4.999789995589815,0.9,0.3,0.0946875,0.05853934974655937,-0.0225,0.06466258578188781,3
39,ESFJ,ESFJ,ISFJ,INTP,0.90875,0.09819464089246419,7.35,5.305421755148219,0.83,0.375632799419859,0.0878125,0.07663516959431878,-0.04,0.088175960442742,5
40,ESFJ,ESFJ,ISFJ,INTJ,0.935,0.1007472083980494,6.55,5.389573266966504,0.89,0.31288975694324034,0.0996875,0.08566091856120854,-0.025,0.09354143466934854,4
41,ESFJ,ESFJ,ISFJ,ESFP,0.9225,0.0948353836919533,7.78,5.2432432711061585,0.87,0.3363034344160047,0.1146875,0.08672142450830705,-0.0125,0.0960143218483576,2
42,ESFJ,ESFJ,ISFJ,ESTP,0.90125,0.10939464109361116,7.78,5.096233903580172,0.84,0.36660605559646725,0.10375,0.08625,-0.03,0.10018732454756937,3
43,ESFJ,ESFJ,ISFJ,ISFP,0.935,0.08381527307120105,5.81,4.863527526394808,0.94,0.23748684174075838,0.1134375,0.0763747698441704,-0.0075,0.09154916711800276,3
44,ESFJ,ESFJ,ISFJ,ISTP,0.9225,0.09807522622966515,7.38,5.3456150254203685,0.81,0.39230090491866065,0.115625,0.08058623098892267,-0.0225,0.08728545125048047,4
45,ESFJ,ESFJ,ISTJ,ISTJ,0.9325,0.09256754290786809,5.82,4.940404841710849,0.89,0.31288975694324034,0.1003125,0.07265809809477537,-0.02,0.0963716763369819,4
46,ESFJ,ESFJ,ISTJ,ENFP,0.92625,0.10910860415200996,6.22,5.300150941246863,0.85,0.3570714214271425,0.0990625,0.07756738501941392,-0.0275,0.08764274071479053,4
47,ESFJ,ESFJ,ISTJ,ENFJ,0.9225,0.09965565713997374,6.85,5.087976021956079,0.88,0.3249615361854384,0.104375,0.0827057094462045,-0.03375,0.10585219648169801,3
48,ESFJ,ESFJ,ISTJ,INFP,0.91125,0.11631718488684292,6.27,5.098735137266888,0.88,0.32496153618543844,0.0859375,0.07810937343718742,-0.03875,0.10412582532686115,5
49,ESFJ,ESFJ,ISTJ,INFJ,0.93375,0.09429839606271148,5.98,5.312212345153382,0.85,0.3570714214271425,0.11,0.07936269589674988,-0.01125,0.08855612627029257,4
50,ESFJ,ESFJ,ISTJ,ENTP,0.925,0.09013878188659974,7.4,5.287721626560915,0.81,0.3923009049186606,0.1071875,0.08019203026953489,-0.03375,0.0949588726765435,5
51,ESFJ,ESFJ,ISTJ,ENTJ,0.92125,0.09626623239745077,6.39,5.110567483166619,0.88,0.32496153618543844,0.08875,0.07483314773547883,-0.04125,0.10316097857232648,4
52,ESFJ,ESFJ,ISTJ,INTP,0.91125,0.10352384990909097,7.91,5.868722177782826,0.72,0.4489988864128729,0.08625,0.07782693139267409,-0.04,0.08268917704270615,6
53,ESFJ,ESFJ,ISTJ,INTJ,0.92625,0.09535296272271775,7.39,5.296970832466421,0.86,0.34698703145794946,0.0996875,0.07430603420146982,-0.0225,0.09250000000000001,5
54,ESFJ,ESFJ,ISTJ,ESFP,0.89875,0.11550838714136735,7.44,5.119218690386258,0.89,0.31288975694324034,0.1046875,0.09905559912872164,-0.0375,0.11388041973930374,3
55,ESFJ,ESFJ,ISTJ,ESTP,0.89375,0.11232625472257142,9.03,5.2238970127673845,0.72,0.4489988864128729,0.0996875,0.10026283817422087,-0.03625,0.11221491656638169,4
56,ESFJ,ESFJ,ISTJ,ISFP,0.925,0.1,6.85,5.408095783175443,0.88,0.3249615361854384,0.110625,0.08401776225894142,-0.01375,0.10442551172965352,4
57,ESFJ,ESFJ,ISTJ,ISTP,0.91625,0.1016350702267677,7.06,5.207340972127714,0.84,0.36660605559646725,0.10375,0.08135570047636491,-0.0175,0.09522998477370453,5
58,ESFJ,ESFJ,ENFP,ENFP,0.91125,0.09064870379657945,6.68,4.8741768535825605,0.92,0.2712931993250107,0.101875,0.08023646692745139,-0.0225,0.09250000000000001,4
59,ESFJ,ESFJ,ENFP,ENFJ,0.9225,0.1027436129401726,5.99,4.801031139244986,0.92,0.2712931993250107,0.0940625,0.08483612419688914,-0.035,0.10012492197250393,3
60,ESFJ,ESFJ,ENFP,INFP,0.9275,0.0921615429558338,6.32,5.0692800277751475,0.87,0.33630343441600474,0.100625,0.08047466604466277,-0.025,0.09519716382329885,5
61,ESFJ,ESFJ,ENFP,INFJ,0.92375,0.09502466784998514,6.7,5.006995106848018,0.89,0.3128897569432403,0.0946875,0.08249704066662028,-0.0325,0.08591420138719792,4
62,ESFJ,ESFJ,ENFP,ENTP,0.92,0.10234744745229359,6.74,4.987223676555925,0.89,0.31288975694324034,0.1009375,0.08218868820433868,-0.02625,0.09729947327709437,5
63,ESFJ,ESFJ,ENFP,ENTJ,0.92875,0.09723521738547201,6.03,4.998909881164092,0.93,0.2551470164434615,0.100625,0.07875744012472725,-0.02,0.08789197915623471,4
64,ESFJ,ESFJ,ENFP,INTP,0.9225,0.09807522622966515,6.7,5.625833271614081,0.82,0.38418745424597095,0.10375,0.08111527291453811,-0.02,0.10265232583823904,6
65,ESFJ,ESFJ,ENFP,INTJ,0.9425,0.08181534085976787,5.5,5.016971197844373,0.89,0.31288975694324034,0.0925,0.06902218846139262,-0.0275,0.08940777371123833,5
66,ESFJ,ESFJ,ENFP,ESFP,0.89875,0.09469523483259334,6.58,4.368477995824175,0.93,0.2551470164434615,0.1021875,0.07766803859213904,-0.035,0.09027735042633894,3
67,ESFJ,ESFJ,ENFP,ESTP,0.91,0.09855201672213514,6.82,5.103684943254237,0.88,0.3249615361854384,0.114375,0.0799438279356199,-0.03375,0.10285760788585355,4
68,ESFJ,ESFJ,ENFP,ISFP,0.91625,0.09851237231941988,7.38,5.112298895800206,0.87,0.33630343441600474,0.11125,0.07958878689865802,-0.02375,0.09133557631065782,4
69,ESFJ,ESFJ,ENFP,ISTP,0.91625,0.10614700890745817,7.92,5.28143919779448,0.86,0.34698703145794946,0.1125,0.08160978035750371,-0.0175,0.0935748363610645,5
70,ESFJ,ESFJ,ENFJ,ENFJ,0.945,0.08536685539481938,4.46,4.428137305910918,0.96,0.19595917942265423,0.09125,0.06429910574805843,-0.02625,0.07135956488096043,2
71,ESFJ,ESFJ,ENFJ,INFP,0.92875,0.09057973007246158,5.54,4.7019570393613765,0.93,0.2551470164434615,0.095625,0.07828982612702623,-0.03375,0.08988708194173398,4
72,ESFJ,ESFJ,ENFJ,INFJ,0.93375,0.09092407546959166,5.4,4.79583152331272,0.94,0.23748684174075835,0.09125,0.0778971677919037,-0.02625,0.08713315958921725,3
73,ESFJ,ESFJ,ENFJ,ENTP,0.9375,0.08385254915624211,5.79,5.060227267623461,0.91,0.2861817604250837,0.108125,0.07748739816899262,-0.01375,0.08820253681159063,4
74,ESFJ,ESFJ,ENFJ,ENTJ,0.9425,0.0779021822544144,4.78,4.139033703655962,0.96,0.19595917942265423,0.0978125,0.06594490479748985,-0.025,0.0770551750371122,3
75,ESFJ,ESFJ,ENFJ,INTP,0.9275,0.0813557004763649,6.34,5.325823879926936,0.83,0.375632799419859,0.0975,0.07033402448317598,-0.03125,0.08904879280484379,5
76,ESFJ,ESFJ,ENFJ,INTJ,0.95625,0.07153451963912247,5.07,4.858508001434185,0.91,0.2861817604250837,0.0959375,0.06921081359693729,-0.0075,0.07870038119348598,4
77,ESFJ,ESFJ,ENFJ,ESFP,0.90875,0.09329891478468545,6.47,5.193178217623578,0.87,0.33630343441600474,0.090625,0.07837460127490282,-0.045,0.10080922576827975,2
78,ESFJ,ESFJ,ENFJ,ESTP,0.92125,0.09126712168135906,6.65,5.113462623311135,0.86,0.34698703145794946,0.0971875,0.0743323144315445,-0.04375,0.08904879280484379,3
79,ESFJ,ESFJ,ENFJ,ISFP,0.90875,0.10132713111501775,6.41,4.884864378874812,0.86,0.34698703145794946,0.0975,0.09049343898869133,-0.04125,0.10008590060542993,3
80,ESFJ,ESFJ,ENFJ,ISTP,0.9225,0.09148087231765994,8.09,5.219377357501563,0.79,0.40730823708832603,0.104375,0.0806734350638424,-0.0275,0.09934158243152764,4
81,ESFJ,ESFJ,INFP,INFP,0.9075,0.09457140159688868,7.42,5.208032257964614,0.85,0.3570714214271425,0.08625,0.08548117482814563,-0.04875,0.08458538585358583,6
82,ESFJ,ESFJ,INFP,INFJ,0.93125,0.08727650027355591,6.32,5.132017147282343,0.9,0.3,0.0871875,0.07412181169365735,-0.0325,0.09290452088031023,5
83,ESFJ,ESFJ,INFP,ENTP,0.92,0.10080922576827975,7.75,5.208406666150408,0.83,0.375632799419859,0.1071875,0.08595227145776893,-0.0175,0.10158124826955021,6
84,ESFJ,ESFJ,INFP,ENTJ,0.94375,0.07368641326594746,6.53,5.490819610950627,0.85,0.3570714214271425,0.1065625,0.07154748750829759,-0.01,0.08418729120241368,5
85,ESFJ,ESFJ,INFP,INTP,0.9425,0.08370334521391604,7.19,5.8969398843807115,0.77,0.4208325082500163,0.1084375,0.06881460033125238,-0.01625,0.08777634932030381,7
86,ESFJ,ESFJ,INFP,INTJ,0.93125,0.0890487928048438,6.75,5.45962452921444,0.83,0.375632799419859,0.100625,0.07838456879386402,-0.02,0.08426149773176357,6
87,ESFJ,ESFJ,INFP,ESFP,0.915,0.11710038428630369,7.51,5.090176814217754,0.9,0.3,0.0978125,0.08554227299265552,-0.0375,0.10532687216470447,4
88,ESFJ,ESFJ,INFP,ESTP,0.895,0.11953033087881922,7.7,5.447017532558528,0.83,0.375632799419859,0.0940625,0.09606465514823857,-0.03625,0.10649970657236572,5
89,ESFJ,ESFJ,INFP,ISFP,0.89625,0.10466464302714648,8.01,5.0980290309098875,0.81,0.3923009049186606,0.109375,0.08094896154367887,-0.02625,0.09403290647427634,5
90,ESFJ,ESFJ,INFP,ISTP,0.92125,0.0895387485952311,7.73,5.449504564637046,0.8,0.4,0.114375,0.07657461638820008,-0.02,0.08426149773176357,6
91,ESFJ,ESFJ,INFJ,INFJ,0.945,0.08162413858657254,5.27,4.681570249392825,0.94,0.23748684174075835,0.099375,0.07595485912698409,-0.0225,0.0757875319561206,4
92,ESFJ,ESFJ,INFJ,ENTP,0.9225,0.08620469824783333,7.15,5.638040439727264,0.83,0.375632799419859,0.089375,0.07793978043977286,-0.04,0.08268917704270615,5
93,ESFJ,ESFJ,INFJ,ENTJ,0.9475,0.085110222652746,4.6,4.833218389437829,0.93,0.2551470164434615,0.0859375,0.0771026861967208,-0.03,0.09374166629626338,4
94,ESFJ,ESFJ,INFJ,INTP,0.9425,0.07988272654335228,6.44,5.776365639396453,0.83,0.375632799419859,0.1025,0.06435982830928,-0.01625,0.07214352015254037,6
