,type,studygroup,avg_accuracy,std_accuracy,avg_adaptation
0,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFJ']",0.79875,0.14989058509459488,0.20875
1,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFJ']",0.8275,0.1332056680475722,0.175
2,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFJ']",0.84,0.13472193585307482,0.175
3,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFJ']",0.83,0.13865424623862047,0.19125
4,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTJ']",0.8275,0.11696687565289585,0.1975
5,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTJ']",0.8325,0.12774486291041218,0.1825
6,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTJ']",0.81,0.14084566021003272,0.20875
7,ESTJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTJ']",0.82625,0.13907619314605935,0.18375
8,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFJ']",0.82,0.13028814220795382,0.19
9,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFJ']",0.82625,0.14240676774648037,0.165
10,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFJ']",0.83875,0.13612379476050468,0.17625
11,ISFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFJ']",0.8225,0.14380977018269658,0.19625
12,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTJ']",0.84,0.14370107863199913,0.19125
13,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTJ']",0.80875,0.15856288184818035,0.1825
14,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTJ']",0.82125,0.1372213084764899,0.18
15,ISTJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTJ']",0.80125,0.13357465141260896,0.23
16,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFP']",0.8025,0.14162009038268547,0.20625
17,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFP']",0.82375,0.15420663896214068,0.2
18,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFP']",0.83125,0.1254678743742796,0.19875
19,ENFP,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFP']",0.825,0.14252192813739226,0.19
20,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFJ']",0.80875,0.12924661504271592,0.20125
21,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFJ']",0.83125,0.14934753931685651,0.17375
22,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFJ']",0.79125,0.15314923277640016,0.215
23,ENFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFJ']",0.87875,0.11786512418862502,0.1375
24,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'INFP']",0.82125,0.1492219404109195,0.18
25,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'INFP']",0.82,0.13499999999999998,0.1875
26,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'INFP']",0.8275,0.13437354650376687,0.1775
