,alfa,beta,charlie,delta,avg_accuracy,std_accuracy,avg_n_tick,std_n_tick,avg_consensus,std_consensus,avg_weak_synergy,std_weak_synergy,avg_strong_synergy,std_strong_synergy,diversity_score
0,ESFJ,ESFJ,ESFJ,ESFJ,0.93875,0.08384323168867,4.69,4.279474266776235,1.0,0.0,0.1090625,0.06839325053504915,-0.025,0.08660254037844387,0
1,ESFJ,ESFJ,ESFJ,ESTJ,0.93,0.08717797887081347,5.85,5.564845011318824,0.98,0.13999999999999999,0.0978125,0.07416922689869432,-0.0225,0.0757875319561206,1
2,ESFJ,ESFJ,ESFJ,ISFJ,0.9,0.09013878188659973,6.85,4.97669569091782,0.96,0.19595917942265423,0.0840625,0.07827423246988756,-0.0425,0.08877640452282351,1
3,ESFJ,ESFJ,ESFJ,ISTJ,0.92125,0.09787587802926725,5.84,4.995437918741459,0.96,0.19595917942265426,0.1003125,0.0774716429976156,-0.0175,0.09188987974744552,2
4,ESFJ,ESFJ,ESFJ,ENFP,0.91375,0.11277050811271536,6.36,5.840410944445605,0.96,0.19595917942265423,0.0984375,0.07773339352395468,-0.01875,0.09249155366842964,2
5,ESFJ,ESFJ,ESFJ,ENFJ,0.94625,0.07757053242050102,5.81,5.078769536019527,0.98,0.13999999999999999,0.1025,0.07474958193863027,-0.02,0.07648529270389176,1
6,ESFJ,ESFJ,ESFJ,INFP,0.93,0.08536685539481936,7.34,6.686134907403528,0.9,0.3,0.1025,0.08113934772969278,-0.0175,0.08481597726843686,3
7,ESFJ,ESFJ,ESFJ,INFJ,0.92625,0.09697776807083158,5.7,5.46168472176855,0.98,0.13999999999999999,0.086875,0.0722922670484195,-0.0425,0.08699856320652659,2
8,ESFJ,ESFJ,ESFJ,ENTP,0.9225,0.09148087231765996,6.31,5.852683145361621,0.97,0.1705872210923198,0.0996875,0.0740427188773481,-0.02875,0.082641923380328,3
9,ESFJ,ESFJ,ESFJ,ENTJ,0.9425,0.08554969316134335,5.75,5.595310536511803,0.97,0.1705872210923198,0.10125,0.07527553553446166,-0.0275,0.08400148808205722,2
10,ESFJ,ESFJ,ESFJ,INTP,0.93,0.09572094859538324,6.72,6.392307877441448,0.93,0.25514701644346144,0.0971875,0.0757636899758057,-0.02375,0.09793971359974463,4
11,ESFJ,ESFJ,ESFJ,INTJ,0.93125,0.0872765002735559,5.61,5.315816023904515,0.98,0.13999999999999999,0.098125,0.07539220367518115,-0.02625,0.09403290647427634,3
12,ESFJ,ESFJ,ESFJ,ESFP,0.90125,0.12027962213109918,6.52,5.258288695003347,0.97,0.17058722109231983,0.095,0.10077046938463669,-0.0425,0.12018215341721915,1
13,ESFJ,ESFJ,ESFJ,ESTP,0.92375,0.08820253681159064,7.09,5.674671796676879,0.96,0.19595917942265423,0.115625,0.08563868503777952,-0.025,0.08660254037844387,2
14,ESFJ,ESFJ,ESFJ,ISFP,0.9175,0.09555757426808197,6.53,4.800947823086604,0.99,0.09949874371066199,0.1134375,0.0882396196090509,-0.01625,0.09626623239745076,2
15,ESFJ,ESFJ,ESFJ,ISTP,0.9075,0.10697546447667333,7.57,5.717088419816507,0.96,0.19595917942265428,0.1003125,0.07921674676954363,-0.0375,0.09921567416492216,3
16,ESFJ,ESFJ,ESTJ,ESTJ,0.91625,0.10466464302714647,7.12,5.706627725723836,0.97,0.1705872210923198,0.0975,0.08306623862918074,-0.03125,0.10364452469860624,2
17,ESFJ,ESFJ,ESTJ,ISFJ,0.9125,0.09437293044088438,6.72,5.83280378548773,0.94,0.23748684174075835,0.095625,0.07903470361176791,-0.035,0.09027735042633894,2
18,ESFJ,ESFJ,ESTJ,ISTJ,0.9175,0.11621639299169458,6.49,5.586582139376454,0.97,0.17058722109231983,0.0921875,0.08213163500594639,-0.02375,0.09793971359974461,3
19,ESFJ,ESFJ,ESTJ,ENFP,0.90875,0.10436564329318342,7.04,5.756596216515451,0.96,0.19595917942265428,0.095,0.08826894272619334,-0.03,0.0986154146165801,3
20,ESFJ,ESFJ,ESTJ,ENFJ,0.92875,0.09057973007246158,5.22,4.7803347163143295,0.98,0.13999999999999999,0.0934375,0.08130947342561012,-0.03375,0.09329891478468545,2
21,ESFJ,ESFJ,ESTJ,INFP,0.92125,0.0895387485952311,7.15,5.982265457165872,0.95,0.21794494717703375,0.095,0.07653634757420816,-0.02875,0.08264192338032797,4
22,ESFJ,ESFJ,ESTJ,INFJ,0.93375,0.08741960592452931,5.98,6.0398344348169015,0.94,0.23748684174075835,0.0984375,0.06992951250187578,-0.0225,0.07782191208136692,3
23,ESFJ,ESFJ,ESTJ,ENTP,0.905,0.09701803955966126,7.33,6.015072734389834,0.94,0.23748684174075835,0.091875,0.07952741272668186,-0.0325,0.09620940702446928,4
24,ESFJ,ESFJ,ESTJ,ENTJ,0.92875,0.08706140074682925,5.68,5.159224747963592,0.98,0.13999999999999999,0.089375,0.08101166968406466,-0.04375,0.09078649403958719,3
25,ESFJ,ESFJ,ESTJ,INTP,0.915,0.09500000000000001,8.06,6.779114986486068,0.9,0.3,0.093125,0.07301808423260638,-0.03125,0.10807260291119114,5
26,ESFJ,ESFJ,ESTJ,INTJ,0.945,0.07968688725254613,6.61,6.0048230615064755,0.93,0.2551470164434615,0.1065625,0.0744898011055876,-0.015,0.0834415963413932,4
27,ESFJ,ESFJ,ESTJ,ESFP,0.91375,0.09793971359974463,7.49,6.168460099571043,0.94,0.23748684174075835,0.105,0.07949056547792321,-0.02375,0.08605049389747858,2
28,ESFJ,ESFJ,ESTJ,ESTP,0.90625,0.10950884667459519,7.26,5.871320124128815,0.92,0.2712931993250107,0.1075,0.0888643629358811,-0.02125,0.10466464302714645,3
29,ESFJ,ESFJ,ESTJ,ISFP,0.9075,0.10550473923004597,8.2,6.359245238233858,0.93,0.2551470164434615,0.1090625,0.08643266436220741,-0.02875,0.09977318026403689,3
30,ESFJ,ESFJ,ESTJ,ISTP,0.92125,0.09787587802926725,7.87,6.244445531830668,0.91,0.28618176042508375,0.111875,0.08066859286612107,-0.02,0.09797958971132711,4
31,ESFJ,ESFJ,ISFJ,ISFJ,0.92375,0.09167708274154453,5.64,4.940688211170586,0.98,0.13999999999999999,0.1078125,0.07117526233706484,-0.0225,0.08728545125048047,2
32,ESFJ,ESFJ,ISFJ,ISTJ,0.91375,0.09133557631065783,7.93,6.296435499550519,0.93,0.2551470164434615,0.1028125,0.07734548609162657,-0.02625,0.09403290647427634,3
33,ESFJ,ESFJ,ISFJ,ENFP,0.92625,0.09857579571071189,6.11,5.679603859425409,0.95,0.21794494717703372,0.1003125,0.08031857953643105,-0.0175,0.09017344398435717,3
34,ESFJ,ESFJ,ISFJ,ENFJ,0.9225,0.09148087231765994,5.86,4.951807750710845,0.98,0.13999999999999996,0.0946875,0.07972793091978495,-0.0325,0.08591420138719792,2
35,ESFJ,ESFJ,ISFJ,INFP,0.9025,0.10691702390171551,7.93,6.4687788646699005,0.89,0.31288975694324034,0.0953125,0.08248757008634695,-0.03875,0.0979397135997446,4
36,ESFJ,ESFJ,ISFJ,INFJ,0.93,0.09069178573608527,5.68,5.259049343750256,0.98,0.13999999999999999,0.0871875,0.07102692601225255,-0.03875,0.08233885777687226,3
37,ESFJ,ESFJ,ISFJ,ENTP,0.9075,0.10985786271359915,7.48,6.623413017470677,0.91,0.2861817604250837,0.0896875,0.08120852306716335,-0.045,0.10682930309610748,4
