,type,studygroup,avg_accuracy,std_accuracy,avg_adaptation
0,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFJ']",0.819625,0.14343721405200255,0.192625
1,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFJ']",0.81275,0.13908158576892915,0.19725
2,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFJ']",0.821625,0.13696891755066182,0.194
3,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFJ']",0.821375,0.14058799513116332,0.19175
4,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTJ']",0.820125,0.13522429284340887,0.193625
5,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTJ']",0.824625,0.13945154848548652,0.189
6,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTJ']",0.817625,0.14032991261666203,0.195875
7,ESTJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTJ']",0.8255,0.1399321264041964,0.181625
8,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFJ']",0.83075,0.13990420829982206,0.185625
9,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFJ']",0.81425,0.14576329270430194,0.186875
10,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFJ']",0.81675,0.1410254852854618,0.194
11,ISFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFJ']",0.813,0.14480504134870442,0.211375
12,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTJ']",0.8105,0.1432733401578954,0.198625
13,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTJ']",0.81875,0.13575598513509451,0.185125
14,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTJ']",0.817625,0.13954832272370743,0.1935
15,ISTJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTJ']",0.824875,0.14110052932218217,0.205125
16,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFP']",0.814125,0.1407475021980852,0.19825
17,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFP']",0.823625,0.1390862479722564,0.192125
18,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFP']",0.820125,0.1347613051843889,0.193
19,ENFP,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFP']",0.82175,0.13673217434093557,0.188125
