,alfa,beta,charlie,delta,avg_accuracy,std_accuracy,avg_n_tick,std_n_tick,avg_consensus,std_consensus,avg_weak_synergy,std_weak_synergy,avg_strong_synergy,std_strong_synergy,diversity_score
0,ESFJ,ESFJ,ESFJ,ESFJ,0.9225,0.105741429912783,5.2,4.244997055358225,1.0,0.0,0.105,0.07571533860453904,-0.01875,0.07979465834252315,0
1,ESFJ,ESFJ,ESFJ,ESTJ,0.92625,0.09697776807083158,5.66,4.176649374797937,1.0,0.0,0.1165625,0.08266260018140005,-0.01125,0.10169654615570776,1
2,ESFJ,ESFJ,ESFJ,ISFJ,0.93375,0.08376865463883254,5.25,4.720963884632035,0.99,0.09949874371066199,0.1115625,0.07437959544626468,-0.025,0.08291561975888499,1
3,ESFJ,ESFJ,ESFJ,ISTJ,0.935,0.08923284148787373,6.73,5.936084568130747,0.96,0.19595917942265428,0.1165625,0.076400338472745,-0.015,0.08529361054615991,2
4,ESFJ,ESFJ,ESFJ,ENFP,0.91375,0.09133557631065783,6.25,5.282754963085075,0.94,0.23748684174075835,0.093125,0.09002820738524121,-0.03375,0.09495887267654349,2
5,ESFJ,ESFJ,ESFJ,ENFJ,0.9325,0.0925675429078681,5.26,5.22803978561755,1.0,0.0,0.0959375,0.0743795954462647,-0.025,0.08100925873009825,1
6,ESFJ,ESFJ,ESFJ,INFP,0.93125,0.0872765002735559,6.49,5.099990196069008,1.0,0.0,0.115625,0.07787459871485695,-0.01375,0.08820253681159064,3
7,ESFJ,ESFJ,ESFJ,INFJ,0.93625,0.09920779959257234,5.0,4.523273151159457,1.0,0.0,0.094375,0.07979221061607455,-0.025,0.09999999999999999,2
8,ESFJ,ESFJ,ESFJ,ENTP,0.9225,0.0948353836919533,7.38,6.207704889892883,0.95,0.21794494717703375,0.1065625,0.07369900249494561,-0.0275,0.08764274071479053,3
9,ESFJ,ESFJ,ESFJ,ENTJ,0.92,0.0838898086778126,6.45,5.748695504199191,0.95,0.21794494717703375,0.081875,0.07068028809364037,-0.03625,0.08532108473290761,2
10,ESFJ,ESFJ,ESFJ,INTP,0.92875,0.10194207914301139,8.16,6.4895608480081295,0.92,0.2712931993250107,0.1034375,0.07688960735203425,-0.02125,0.08301919958660166,4
11,ESFJ,ESFJ,ESFJ,INTJ,0.91375,0.09952229649681524,6.6,6.031583540000089,0.94,0.23748684174075835,0.0884375,0.07474631575368781,-0.0475,0.09646890690787367,3
12,ESFJ,ESFJ,ESFJ,ESFP,0.91375,0.10261426557745273,6.54,5.212331532049741,0.99,0.09949874371066199,0.1146875,0.08806236692679796,-0.0275,0.09775607398008576,1
13,ESFJ,ESFJ,ESFJ,ESTP,0.89875,0.11277050811271536,7.26,6.24759153594407,0.95,0.21794494717703375,0.0946875,0.08130466910793009,-0.03375,0.09659030748475748,2
14,ESFJ,ESFJ,ESFJ,ISFP,0.89625,0.1076089564116296,7.36,5.177876012420537,0.98,0.13999999999999999,0.103125,0.09019293556038632,-0.03125,0.1021258414898012,2
15,ESFJ,ESFJ,ESFJ,ISTP,0.90875,0.10285760788585355,7.33,5.8754659389702875,0.95,0.21794494717703375,0.095625,0.07791471699878015,-0.03125,0.09581068572972433,3
16,ESFJ,ESFJ,ESTJ,ESTJ,0.915,0.095,6.1,5.23545604508337,0.98,0.13999999999999999,0.10625,0.07756046028744286,-0.0325,0.09120718173477349,2
17,ESFJ,ESFJ,ESTJ,ISFJ,0.92875,0.08706140074682925,6.08,4.971277501809771,1.0,0.0,0.1084375,0.07711281812221622,-0.02375,0.0878475241540705,2
18,ESFJ,ESFJ,ESTJ,ISTJ,0.9225,0.08620469824783333,6.6,5.4845236803208355,0.96,0.19595917942265423,0.10875,0.08597783144508822,-0.0225,0.10059199769365355,3
19,ESFJ,ESFJ,ESTJ,ENFP,0.935,0.09096702699330127,6.24,5.911209690071906,0.95,0.21794494717703375,0.1065625,0.08363039500534479,-0.0175,0.09188987974744552,3
20,ESFJ,ESFJ,ESTJ,ENFJ,0.945,0.07968688725254613,4.91,4.40475879021769,0.99,0.09949874371066199,0.1103125,0.06966086935109266,-0.02375,0.07436186858867924,2
21,ESFJ,ESFJ,ESTJ,INFP,0.90125,0.11631718488684294,7.34,6.490331270436047,0.91,0.2861817604250837,0.0909375,0.08114115305287448,-0.045,0.09766012492312305,4
22,ESFJ,ESFJ,ESTJ,INFJ,0.93375,0.0942983960627115,6.93,6.481134160006256,0.96,0.19595917942265428,0.101875,0.08576630675854009,-0.0225,0.10213349107907747,3
23,ESFJ,ESFJ,ESTJ,ENTP,0.90125,0.10795687796523204,8.74,6.126369234709903,0.94,0.23748684174075835,0.0946875,0.08483151960651182,-0.045,0.10682930309610747,4
24,ESFJ,ESFJ,ESTJ,ENTJ,0.9325,0.09749999999999999,5.87,5.480246344827941,0.97,0.17058722109231983,0.0990625,0.08626981203613464,-0.03125,0.10058423087144426,3
25,ESFJ,ESFJ,ESTJ,INTP,0.925,0.09999999999999999,8.05,6.656387909369465,0.92,0.2712931993250107,0.1028125,0.08200312017691766,-0.02625,0.103523849909091,5
26,ESFJ,ESFJ,ESTJ,INTJ,0.935,0.08923284148787373,6.95,6.408392934269871,0.94,0.23748684174075835,0.0996875,0.07053021847938655,-0.02625,0.07561208567418307,4
27,ESFJ,ESFJ,ESTJ,ESFP,0.91125,0.10200337004236674,6.93,6.022051145581545,0.94,0.23748684174075835,0.099375,0.08482288532583644,-0.045,0.1023474474522936,2
28,ESFJ,ESFJ,ESTJ,ESTP,0.91375,0.10708495459213681,8.16,5.984513346964814,0.94,0.23748684174075832,0.1071875,0.08480849290460242,-0.02625,0.09568013116629807,3
29,ESFJ,ESFJ,ESTJ,ISFP,0.9075,0.10096410253154335,7.06,5.914084882718542,0.95,0.21794494717703372,0.0984375,0.08596590439674325,-0.035,0.0953283798246881,3
