,type,studygroup,avg_accuracy,std_accuracy,avg_adaptation
0,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFJ']",0.8175,0.15147194459701108,0.20125
1,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFJ']",0.82875,0.13305896249407628,0.18125
2,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFJ']",0.8075,0.132782717248895,0.195
3,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFJ']",0.81625,0.1385809781319211,0.19375
4,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTJ']",0.8075,0.13626720074911644,0.215
5,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTJ']",0.80625,0.14724023736737185,0.195
6,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTJ']",0.80625,0.11507470399701232,0.2075
7,ESTJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTJ']",0.81875,0.127934309315367,0.195
8,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFJ']",0.82,0.15544291556709813,0.1925
9,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFJ']",0.8375,0.13635890143294643,0.165
10,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFJ']",0.80125,0.15919229723827721,0.205
11,ISFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFJ']",0.83,0.1419947182116293,0.19
12,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTJ']",0.80875,0.14410824924340732,0.2
13,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTJ']",0.82875,0.1376760236933069,0.17375
14,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTJ']",0.81375,0.14736752525573604,0.195
15,ISTJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTJ']",0.8225,0.1336740438529485,0.2025
16,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFP']",0.82875,0.13992743655195003,0.205
17,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFP']",0.8125,0.1386317063301177,0.19125
18,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFP']",0.8225,0.14271912976192086,0.18875
19,ENFP,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFP']",0.81875,0.13621559198564606,0.18875
20,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFJ']",0.81375,0.1363531719469701,0.21
21,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFJ']",0.8025,0.13827056809024832,0.18625
22,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFJ']",0.84125,0.14345622154511112,0.175
23,ENFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENFJ']",0.88875,0.11024829930661063,0.1325
24,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'INFP']",0.82875,0.11409288978722557,0.17375
25,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'INFP']",0.835,0.13448977656312766,0.18
26,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'INFP']",0.79375,0.16618419750385413,0.2175
27,INFP,"['ESFJ', 'ESFJ', 'ESFJ', 'INFP']",0.805,0.14287232062229546,0.22125
28,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'INFJ']",0.83625,0.13427467184841674,0.17625
29,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'INFJ']",0.82375,0.15113632091592014,0.18625
30,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'INFJ']",0.8325,0.12147530613256342,0.17
31,INFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'INFJ']",0.875,0.13228756555322954,0.145
32,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENTP']",0.81375,0.14523149623962428,0.18375
33,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENTP']",0.80875,0.14081792322002198,0.195
34,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENTP']",0.815,0.1535822255340767,0.2025
35,ENTP,"['ESFJ', 'ESFJ', 'ESFJ', 'ENTP']",0.82625,0.14884450779252822,0.19125
36,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENTJ']",0.82125,0.1372213084764899,0.18625
37,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENTJ']",0.82875,0.13187944305311577,0.17875
38,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENTJ']",0.82,0.13842868199907124,0.19
39,ENTJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ENTJ']",0.8825,0.1196609794377432,0.13875
40,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'INTP']",0.82375,0.14262604074992757,0.19
41,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'INTP']",0.81125,0.14306357852367596,0.1775
42,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'INTP']",0.83375,0.129969948449632,0.1825
43,INTP,"['ESFJ', 'ESFJ', 'ESFJ', 'INTP']",0.8325,0.12275483697190917,0.20125
44,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'INTJ']",0.82,0.12786711852544422,0.205
45,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'INTJ']",0.80625,0.14402148277253643,0.19875
46,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'INTJ']",0.78625,0.15741565201719934,0.2075
47,INTJ,"['ESFJ', 'ESFJ', 'ESFJ', 'INTJ']",0.88875,0.11975887232268013,0.1525
48,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFP']",0.81,0.13747727084867517,0.2025
49,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFP']",0.82625,0.13794813336903114,0.195
50,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFP']",0.81,0.1419506956657839,0.20625
51,ESFP,"['ESFJ', 'ESFJ', 'ESFJ', 'ESFP']",0.75,0.15612494995995996,0.255
52,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTP']",0.82,0.13148193792304705,0.19875
53,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTP']",0.83125,0.13621559198564606,0.1875
54,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTP']",0.80375,0.13607787292576262,0.22375
55,ESTP,"['ESFJ', 'ESFJ', 'ESFJ', 'ESTP']",0.76125,0.1480023226169103,0.23375
56,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFP']",0.82875,0.12827582585974645,0.1975
57,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFP']",0.8125,0.14306903927824496,0.18875
58,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFP']",0.81875,0.1407291281149713,0.19375
59,ISFP,"['ESFJ', 'ESFJ', 'ESFJ', 'ISFP']",0.7125,0.1525819451966713,0.30875
60,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTP']",0.83,0.12186057606953939,0.17125
61,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTP']",0.83125,0.13035408509133883,0.18875
62,ESFJ,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTP']",0.81625,0.14732510817915595,0.19625
63,ISTP,"['ESFJ', 'ESFJ', 'ESFJ', 'ISTP']",0.775,0.15206906325745548,0.2475
64,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTJ']",0.8,0.1479019945774904,0.21125
65,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTJ']",0.8075,0.1407790822530109,0.2075
66,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTJ']",0.82375,0.13473933167416263,0.18
67,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ESTJ']",0.80375,0.14497305784179348,0.2275
68,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFJ']",0.83875,0.14821331755277592,0.1775
69,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFJ']",0.81125,0.13287094302367242,0.19
70,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFJ']",0.825,0.13806701271484076,0.17125
71,ISFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISFJ']",0.80625,0.1429324578253659,0.225
72,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTJ']",0.82125,0.14497305784179348,0.18625
73,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTJ']",0.8175,0.12676257334087218,0.19125
74,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTJ']",0.8025,0.13599172768959147,0.195
75,ISTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ISTJ']",0.81375,0.1374943180644204,0.21
76,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFP']",0.81,0.14304719500919966,0.2075
77,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFP']",0.8425,0.14320003491619687,0.16
78,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFP']",0.83625,0.12335796488269414,0.1775
79,ENFP,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFP']",0.825,0.13919410907075055,0.18625
80,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFJ']",0.815,0.1535822255340767,0.20125
81,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFJ']",0.8325,0.14055692796870597,0.17
82,ESTJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFJ']",0.81625,0.1504732119016538,0.19125
83,ENFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'ENFJ']",0.875,0.12747548783981963,0.13875
84,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INFP']",0.80875,0.12803197842726638,0.19375
85,ESFJ,"['ESFJ', 'ESFJ', 'ESTJ', 'INFP']",0.82625,0.13907619314605935,0.2025
